Disease,Medications,Time-Based Guidance and Preventive Measures
Drug Reaction,Cetirizine;Prednisone;Epinephrine;Diphenhydramine,If rash or swelling persists >48 hours or breathing difficulty occurs consult Allergist/Immunologist;Prevent by avoiding allergens and reviewing medication history
Malaria,Artemether-lumefantrine;Chloroquine;Atovaquone-proguanil;Doxycycline,If fever >38°C persists >72 hours consult Infectious Disease Specialist;Prevent with mosquito nets and repellents
Allergy,Loratadine;Fluticasone;Epinephrine;Montelukast,If sneezing or itching persists >7 days consult Allergist/Immunologist;Prevent by avoiding triggers and using air purifiers
Hypothyroidism,Levothyroxine;Liothyronine;Desiccated thyroid;Levothyroxine-liothyronine,If fatigue persists >6 weeks consult Endocrinologist;Prevent complications with thyroid tests and iodine-rich diet
Psoriasis,Betamethasone;Calcipotriene;Methotrexate;Adalimumab,If plaques worsen >4 weeks consult Dermatologist;Prevent flares with moisturizers and stress management
GERD,Omeprazole;Ranitidine;Sucralfate;Alginates,If heartburn persists >2 weeks consult Gastroenterologist;Prevent with small meals and avoiding trigger foods
Chronic cholestasis,Ursodeoxycholic acid;Cholestyramine;Rifampicin;Naltrexone,If jaundice persists >4 weeks consult Hepatologist;Prevent with low-fat diet and avoiding hepatotoxic drugs
Hepatitis A,Ondansetron;Acetaminophen;IV fluids;Silymarin,If jaundice persists >4 weeks consult Hepatologist;Prevent with hepatitis A vaccine and hygiene
Osteoarthritis,Ibuprofen;Acetaminophen;Duloxetine;Hyaluronic acid injections,If pain limits mobility >6 weeks consult Orthopedist;Prevent with weight loss and low-impact exercise
(vertigo) Paroymsal Positional Vertigo,Meclizine;Ondansetron;Betahistine;Dimenhydrinate,If vertigo recurs >2 weeks consult Otolaryngologist;Prevent with head position awareness
Hypoglycemia,Glucose tablets;Glucagon;Dextrose IV;Diazoxide,If episodes recur >1 week consult Endocrinologist;Prevent with regular meals
Acne,Tretinoin;Benzoyl peroxide;Doxycycline;Clindamycin,If scarring persists >8 weeks consult Dermatologist;Prevent with gentle skincare
Diabetes,Metformin;Insulin glargine;Sitagliptin;Empagliflozin,If HbA1c >7% after 3 months consult Endocrinologist;Prevent with diet and exercise
Impetigo,Mupirocin;Cephalexin;Erythromycin;Fusidic acid,If sores spread >7 days consult Dermatologist;Prevent with hygiene
Hypertension,Hydrochlorothiazide;Lisinopril;Amlodipine;Losartan,If BP >140/90 after 4 weeks consult Cardiologist;Prevent with low-sodium diet
Peptic ulcer disease,Omeprazole;Amoxicillin;Clarithromycin;Metronidazole,If pain persists >2 weeks consult Gastroenterologist;Prevent with H. pylori eradication
Dimorphic hemorrhoids(piles),Hydrocortisone;Lidocaine;Psyllium;Diosmin,If bleeding persists >1 week consult Colorectal Surgeon;Prevent with high-fiber diet
Common Cold,Pseudoephedrine;Diphenhydramine;Acetaminophen;Guaifenesin,If fever persists >10 days consult Primary Care Physician;Prevent with handwashing
