Disease,Medication
Drug Reaction,"Antibiotics or antiviral drugs, as prescribed."
Malaria,"Antibiotics or antiviral drugs, as prescribed."
Allergy,"Antihistamines, decongestants, and avoid allergens."
Hypothyroidism,Thyroid hormone replacement therapy.
Psoriasis,Over-the-counter medications and rest. Consult a doctor if symptoms persist.
GERD,"Antibiotics or antiviral drugs, as prescribed."
Chronic cholestasis,Consult a doctor for specialized treatment.
hepatitis A,"Antibiotics or antiviral drugs, as prescribed."
Osteoarthristis,Over-the-counter medications and rest. Consult a doctor if symptoms persist.
(vertigo) Paroymsal  Positional Vertigo,Over-the-counter medications and rest. Consult a doctor if symptoms persist.
Hypoglycemia,Over-the-counter medications and rest. Consult a doctor if symptoms persist.
Acne,Pain relievers such as ibuprofen or acetaminophen.
Diabetes,Insulin therapy or oral hypoglycemics.
Impetigo,"Antibiotics or antiviral drugs, as prescribed."
Hypertension,Over-the-counter medications and rest. Consult a doctor if symptoms persist.
Peptic ulcer diseae,Over-the-counter medications and rest. Consult a doctor if symptoms persist.
Dimorphic hemorrhoids(piles),Over-the-counter medications and rest. Consult a doctor if symptoms persist.
Common Cold,"Antibiotics or antiviral drugs, as prescribed."
Chicken pox,"Antibiotics or antiviral drugs, as prescribed."
Cervical spondylosis,Over-the-counter medications and rest. Consult a doctor if symptoms persist.
Hyperthyroidism,Thyroid hormone replacement therapy.
Urinary tract infection,"Antibiotics or antiviral drugs, as prescribed."
Varicose veins,Over-the-counter medications and rest. Consult a doctor if symptoms persist.
AIDS,Consult a doctor for specialized treatment.
Paralysis (brain hemorrhage),Over-the-counter medications and rest. Consult a doctor if symptoms persist.
Typhoid,Consult a doctor for specialized treatment.
Hepatitis B,Consult a doctor for specialized treatment.
Fungal infection,"Antibiotics or antiviral drugs, as prescribed."
Hepatitis C,Consult a doctor for specialized treatment.
Migraine,Consult a doctor for specialized treatment.
Bronchial Asthma,Consult a doctor for specialized treatment.
Alcoholic hepatitis,"Antibiotics or antiviral drugs, as prescribed."
Jaundice,Over-the-counter medications and rest. Consult a doctor if symptoms persist.
Hepatitis E,Consult a doctor for specialized treatment.
Dengue,Consult a doctor for specialized treatment.
Hepatitis D,Consult a doctor for specialized treatment.
Heart attack,"Antibiotics or antiviral drugs, as prescribed."
Pneumonia,"Antibiotics or antiviral drugs, as prescribed."
Arthritis,Pain relievers such as ibuprofen or acetaminophen.
Gastroenteritis,"Antibiotics or antiviral drugs, as prescribed."
Tuberculosis,"Antibiotics or antiviral drugs, as prescribed."
